candidate_id,modality,task,fold,run_macro_f1,run_bal_acc,run_acc,pos_cov,n_predictions,prediction_accuracy,n_subjects,mean_subject_accuracy,std_subject_accuracy,min_subject_accuracy,hard_subject_count
A0_CE_control,EMG,arousal,2,0.5484210526315789,0.54848930262943,0.5568181818181818,0.0,352,0.5568181818181818,11,0.5568181818181818,0.06527912098338669,0.5,0
A0_CE_control,EMG,arousal,3,0.4747474747474748,0.4852262085445797,0.4829545454545454,0.0,352,0.48295454545454547,11,0.48295454545454547,0.0660900728345243,0.34375,4
A0_CE_control,EMG,arousal,4,0.4934333958724203,0.4957635467980296,0.49375,0.0,320,0.49375,10,0.49375,0.1070436048222094,0.3125,3
A0_CE_control,EMG,arousal,5,0.4794901369295833,0.4923529411764705,0.484375,0.0,320,0.484375,10,0.484375,0.1467604458708893,0.21875,4
A0_CE_control,EMG,arousal,6,0.4702154358806719,0.4713942705745984,0.509375,0.0,320,0.509375,10,0.509375,0.09205646289702374,0.34375,3
A2_cross_subject_positive_only,EEG,valence,1,0.4931671020753041,0.4997364172514908,0.5255681818181818,1.0,352,0.5255681818181818,11,0.5255681818181818,0.07237351819805113,0.4375,2
A2_cross_subject_positive_only,EEG,valence,2,0.4992078119442558,0.5064917859035506,0.5,1.0,352,0.5,11,0.5,0.08727650027355587,0.4375,4
A2_cross_subject_positive_only,EEG,valence,3,0.4641792978365073,0.4733286276091559,0.4659090909090909,1.0,352,0.4659090909090909,11,0.4659090909090909,0.06320623710592896,0.375,6
A2_cross_subject_positive_only,EEG,valence,4,0.53722413724791,0.5404858299595141,0.54375,1.0,320,0.54375,10,0.54375,0.11043631900582143,0.40625,3
A2_cross_subject_positive_only,EEG,valence,5,0.4803486924034869,0.4851738028987915,0.490625,1.0,320,0.490625,10,0.490625,0.07661739811847205,0.375,4
A2_cross_subject_positive_only,EEG,valence,6,0.5549649225824397,0.5555255616927613,0.578125,1.0,320,0.578125,10,0.578125,0.10126157341262282,0.4375,2
A2_cross_subject_positive_only,EEG,arousal,1,0.5136842105263157,0.5137227768442556,0.5227272727272727,1.0,352,0.5227272727272727,11,0.5227272727272727,0.1250710025618176,0.375,3
A2_cross_subject_positive_only,EEG,arousal,2,0.5086830915051774,0.5093254940388698,0.5113636363636364,1.0,352,0.5113636363636364,11,0.5113636363636364,0.07939311711637566,0.40625,3
A2_cross_subject_positive_only,EEG,arousal,3,0.5283481854578329,0.5283689088384409,0.5284090909090909,1.0,352,0.5284090909090909,11,0.5284090909090909,0.10684991066487097,0.34375,2
A2_cross_subject_positive_only,EEG,arousal,4,0.5327276825527494,0.5334975369458128,0.534375,1.0,320,0.534375,10,0.534375,0.1676080186526488,0.3125,5
A2_cross_subject_positive_only,EEG,arousal,5,0.5368209612146634,0.5370588235294118,0.540625,1.0,320,0.540625,10,0.540625,0.09322771181360186,0.34375,1
A2_cross_subject_positive_only,EEG,arousal,6,0.550561797752809,0.5611856267593973,0.55625,1.0,320,0.55625,10,0.55625,0.10395812458228874,0.375,1
A2_cross_subject_positive_only,EMG,valence,1,0.4523019062596207,0.4532799578267602,0.46875,1.0,352,0.46875,11,0.46875,0.08267972847076846,0.3125,4
A2_cross_subject_positive_only,EMG,valence,2,0.4707537103501794,0.4773449920508744,0.4715909090909091,1.0,352,0.4715909090909091,11,0.4715909090909091,0.12457313478070184,0.28125,5
A2_cross_subject_positive_only,EMG,valence,3,0.492191726475998,0.5008571140465867,0.5454545454545454,1.0,352,0.5454545454545454,11,0.5454545454545454,0.07826691655656767,0.40625,1
A2_cross_subject_positive_only,EMG,valence,4,0.4957670663078052,0.5058704453441296,0.496875,1.0,320,0.496875,10,0.496875,0.11068167882616245,0.25,2
A2_cross_subject_positive_only,EMG,valence,5,0.5006980372834031,0.515199966776029,0.584375,1.0,320,0.584375,10,0.584375,0.08208703460352312,0.4375,1
A2_cross_subject_positive_only,EMG,valence,6,0.4805194805194805,0.5213671664105652,0.48125,1.0,320,0.48125,10,0.48125,0.0861503047005639,0.3125,2
