target,subject_id,k_calibration,repeat,model,eval_n,calibration_n,calibration_stimuli,tau2_train_subject_residual,sigma2_train_within_residual,fold_rmse,fold_mae,fold_pearson
valence,1,1,1,stimulus_only,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2813546156650941,1.0691244239631337,0.8821773072879552
valence,1,1,1,bias_mean,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2221889728887898,1.0092165898617511,0.8821773072879553
valence,1,1,1,bias_shrink1,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2001069735071264,1.0161290322580645,0.8821773072879553
valence,1,1,1,bias_shrink2,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2161892853227614,1.0307219662058371,0.8821773072879552
valence,1,1,1,bias_shrink4,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2371791482634837,1.0460829493087558,0.8821773072879553
valence,1,1,1,bias_shrink8,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2549983778170952,1.0563236047107014,0.8821773072879552
valence,1,1,1,bias_empirical_bayes,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2621223372808155,1.0600044648467246,0.8821773072879552
valence,1,1,1,bias_median,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2221889728887898,1.0092165898617511,0.8821773072879553
valence,1,1,1,bias_huber,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2221889728887898,1.0092165898617511,0.8821773072879553
valence,1,1,1,bias_trimmed_mean,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2221889728887898,1.0092165898617511,0.8821773072879553
valence,1,1,1,affine_residual_ridge1,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2221889728887898,1.0092165898617511,0.8821773072879553
valence,1,1,1,affine_residual_ridge4,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.2221889728887898,1.0092165898617511,0.8821773072879553
valence,1,1,1,kernel_residual_shrink4,31,1,Garbage_dump_6,0.13735170717592593,1.5977360488290984,1.261375340048967,1.0575266665662264,0.8822524701126366
valence,1,1,2,stimulus_only,31,1,2314,0.13735170717592593,1.5977360488290984,1.2619409901184546,1.0460829493087558,0.8855138872281213
valence,1,1,2,bias_mean,31,1,2314,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,2,bias_shrink1,31,1,2314,0.13735170717592593,1.5977360488290984,1.2154372420118023,0.9861751152073732,0.8855138872281213
valence,1,1,2,bias_shrink2,31,1,2314,0.13735170717592593,1.5977360488290984,1.1841923248439403,0.9846390168970814,0.8855138872281213
valence,1,1,2,bias_shrink4,31,1,2314,0.13735170717592593,1.5977360488290984,1.1932992640744202,0.9999999999999999,0.8855138872281215
valence,1,1,2,bias_shrink8,31,1,2314,0.13735170717592593,1.5977360488290984,1.2160222047806226,1.0204813108038917,0.8855138872281213
valence,1,1,2,bias_empirical_bayes,31,1,2314,0.13735170717592593,1.5977360488290984,1.2273007555794324,1.0278430310759372,0.8855138872281213
valence,1,1,2,bias_median,31,1,2314,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,2,bias_huber,31,1,2314,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,2,bias_trimmed_mean,31,1,2314,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,2,affine_residual_ridge1,31,1,2314,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,2,affine_residual_ridge4,31,1,2314,0.13735170717592593,1.5977360488290984,1.5435311721059193,1.2672811059907838,0.8855138872281213
valence,1,1,2,kernel_residual_shrink4,31,1,2314,0.13735170717592593,1.5977360488290984,1.1714325559122218,0.9844839644130351,0.8895649996905045
valence,1,1,3,stimulus_only,31,1,3080,0.13735170717592593,1.5977360488290984,1.2751744126792266,1.0599078341013826,0.8795731628279729
valence,1,1,3,bias_mean,31,1,3080,0.13735170717592593,1.5977360488290984,1.3125715128328046,1.0921658986175116,0.8795731628279729
valence,1,1,3,bias_shrink1,31,1,3080,0.13735170717592593,1.5977360488290984,1.1935061288179478,0.9976958525345623,0.8795731628279729
valence,1,1,3,bias_shrink2,31,1,3080,0.13735170717592593,1.5977360488290984,1.1983762451941866,1.0092165898617513,0.8795731628279729
valence,1,1,3,bias_shrink4,31,1,3080,0.13735170717592593,1.5977360488290984,1.2187799725387218,1.0276497695852536,0.8795731628279729
valence,1,1,3,bias_shrink8,31,1,3080,0.13735170717592593,1.5977360488290984,1.2401842761562045,1.0419866871479775,0.8795731628279729
valence,1,1,3,bias_empirical_bayes,31,1,3080,0.13735170717592593,1.5977360488290984,1.2493341450587838,1.0471398913384096,0.8795731628279729
valence,1,1,3,bias_median,31,1,3080,0.13735170717592593,1.5977360488290984,1.3125715128328046,1.0921658986175116,0.8795731628279729
