target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
valence,4,stimulus_only,midpoint_as_high,11200,0.9298214285714286,0.9314131214211794,0.9292998322220255,0.9692344883158743,4995,6205,0.5540178571428571,0.531875,0.0,0.0,0.0,0.0
valence,4,stimulus_only,discard_midpoint,10065,0.9516145057128663,0.951574059266367,0.9516069217398341,0.9772139595216518,4995,5070,0.503725782414307,0.5087928464977646,0.0,0.0,0.0,0.0
valence,4,stimulus_plus_fewshot_bias,midpoint_as_low,11200,0.8733928571428572,0.8794620822353285,0.8733466181578855,0.9404183840587405,6130,5070,0.45267857142857143,0.5282142857142857,-0.008482142857142771,-0.008908398248340665,-0.008500191417718739,-0.0012498753181398037
valence,4,stimulus_plus_fewshot_bias,midpoint_as_high,11200,0.9183035714285714,0.91988612302875,0.9177127874207904,0.9668066454851306,4995,6205,0.5540178571428571,0.5307142857142857,-0.011517857142857135,-0.011526998392429433,-0.011587044801235069,-0.0024278428307437094
valence,4,stimulus_plus_fewshot_bias,discard_midpoint,10065,0.9398907103825137,0.9398629398629399,0.9398837887019166,0.9757563875512594,4995,5070,0.503725782414307,0.5070044709388972,-0.011723795330352615,-0.011711119403427062,-0.0117231330379175,-0.001457571970392424
valence,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,11200,0.879375,0.8857285120869008,0.8793413639042919,0.9444554057228169,6130,5070,0.45267857142857143,0.530625,-0.0024999999999999467,-0.002641968396768335,-0.0025054456713123896,0.0027871463459366863
valence,4,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,11200,0.9275892857142857,0.92924245760668,0.927061195161001,0.9694365275831835,4995,6205,0.5540178571428571,0.5310714285714285,-0.0022321428571429047,-0.002170663814499374,-0.002238637061024451,0.0002020392673092175
valence,4,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,10065,0.9489319423745654,0.9489024527486066,0.9489257305302505,0.9775707265450855,4995,5070,0.503725782414307,0.5073025335320417,-0.0026825633383009695,-0.0026716065177603276,-0.0026811912095835444,0.0003567670234336795
valence,8,stimulus_only,midpoint_as_low,9600,0.8817708333333333,0.8882334947904842,0.88173920344646,0.94244385877685,5256,4344,0.4525,0.5311458333333333,0.0,0.0,0.0,0.0
valence,8,stimulus_only,midpoint_as_high,9600,0.9298958333333334,0.931666438521896,0.9293742441943881,0.9700352198123613,4274,5326,0.5547916666666667,0.5311458333333333,0.0,0.0,0.0,0.0
valence,8,stimulus_only,discard_midpoint,8618,0.9520770480389882,0.952042781269417,0.9520702015632652,0.9779098704660757,4274,4344,0.5040612671153399,0.5078904618240891,0.0,0.0,0.0,0.0
valence,8,stimulus_plus_fewshot_bias,midpoint_as_low,9600,0.8786458333333333,0.8847604842032678,0.8785987785044158,0.9469290862183988,5256,4344,0.4525,0.5278125,-0.0031249999999999334,-0.0034730105872163852,-0.00314042494204414,0.004485227441548778
valence,8,stimulus_plus_fewshot_bias,midpoint_as_high,9600,0.925625,0.9275632152843759,0.9250970086841748,0.969296597456505,4274,5326,0.5547916666666667,0.5291666666666667,-0.004270833333333335,-0.004103223237520104,-0.004277235510213306,-0.000738622355856311
