target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_entropy_complexity,16,physio_residual_ridge1000,63,8,55,0,-47,0.2691431300240508,0.15822016797985938,1.9022121725950893,-0.09658983825791734
arousal,eeg_entropy_complexity,16,physio_similarity_knn64,63,7,56,0,-49,0.30235370312417426,0.1914464818512287,1.9449258043479967,-0.08063225832260579
arousal,emg_bsl_stats_22,4,physio_context_ridge100,63,14,49,0,-35,1.977727370024859,0.08262968509631818,115.45151771010697,-0.15044999448839436
arousal,emg_bsl_stats_22,4,physio_context_ridge1000,63,14,49,0,-35,0.3873108144210752,0.21984645026851002,11.560478630282539,-0.15226930698604102
arousal,emg_bsl_stats_22,4,physio_residual_ridge100,63,15,48,0,-33,1.9901740706254676,0.08336990256959753,116.31901338365753,-0.14826938665551248
arousal,emg_bsl_stats_22,4,physio_residual_ridge1000,63,16,47,0,-31,0.37464036531818146,0.06388354407722541,15.63883721162058,-0.13857520959590897
arousal,emg_bsl_stats_22,4,physio_similarity_knn64,63,8,55,0,-47,0.15587867212141124,0.10497171351610457,0.8989961652822971,-0.20182576579945
arousal,emg_bsl_stats_22,8,physio_context_ridge100,63,11,52,0,-41,2.16927553442991,0.12411179362336333,123.4744069865064,-0.15286310002495074
arousal,emg_bsl_stats_22,8,physio_context_ridge1000,63,10,53,0,-43,0.46663837536038855,0.25844754122378966,12.650677584511936,-0.1574704870335446
arousal,emg_bsl_stats_22,8,physio_residual_ridge100,63,12,51,0,-39,2.1828995431836398,0.11740596006160553,124.39953823563155,-0.15016217949231714
arousal,emg_bsl_stats_22,8,physio_residual_ridge1000,63,13,50,0,-37,0.4605416514738232,0.09811935632855451,17.001910588075113,-0.1412934157312542
arousal,emg_bsl_stats_22,8,physio_similarity_knn64,63,8,55,0,-47,0.22333006359007973,0.14582834128466549,1.3350258015014083,-0.20244482044570922
arousal,emg_bsl_stats_22,16,physio_context_ridge100,63,8,55,0,-47,1.9601775248151174,0.17021411697007882,105.56004080339129,-0.20415214726841535
arousal,emg_bsl_stats_22,16,physio_context_ridge1000,63,7,56,0,-49,0.5149767132547157,0.309223678941956,10.86991260534417,-0.1339039805953266
arousal,emg_bsl_stats_22,16,physio_residual_ridge100,63,11,52,0,-41,1.9714871216461283,0.17506517518782494,106.3511493910501,-0.2024752612897991
