target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,accuracy,balanced_accuracy,macro_f1,auroc
valence,global_mean,34,32,1.7593876008064517,2.233791870124186,,,0.0,0.6875,0.5,0.4074074074074074,0.5
valence,global_mean,35,32,1.7712953629032258,2.2116775245140996,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,36,32,2.411542338709677,2.8249255812396443,,,0.0,0.59375,0.5,0.37254901960784315,0.5
valence,global_mean,37,32,0.927671370967742,1.168500713508033,,,0.0,0.71875,0.5,0.41818181818181815,0.5
valence,global_mean,38,32,1.6090284778225805,1.924582415081468,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,39,32,2.453471522177419,2.8313455233229337,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,global_mean,40,32,2.943264868951613,3.206488313809664,,,0.0,0.53125,0.5,0.3469387755102041,0.5
valence,global_mean,41,32,1.0093245967741935,1.3486411388638582,,,0.0,0.65625,0.5,0.39622641509433965,0.5
valence,global_mean,42,32,2.699029737903226,2.920884678757096,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,43,32,2.523311491935484,2.869000182712325,,,0.0,0.5,0.5,0.3333333333333333,0.5
valence,global_mean,44,32,1.8563823084677422,2.4000913731610267,,,0.0,0.59375,0.5,0.37254901960784315,0.5
